date,attack_type,sector,province,incident_count,severity,source_type,source
2024-09-22,Ransomware,Transportasi,Jawa Tengah,1564,Low,Statistics,BSSN/Kominfo Statistics
2024-09-22,Malware,Perbankan & Keuangan,DKI Jakarta,2562,Low,Statistics,BSSN/Kominfo Statistics
2024-09-22,DDoS,Media,Banten,340,Medium,Statistics,BSSN/Kominfo Statistics
2024-09-22,Data Breach,Telekomunikasi,Jawa Barat,537,Medium,Statistics,BSSN/Kominfo Statistics
2024-09-22,Social Engineering,Manufaktur,Kalimantan Timur,2399,Medium,Statistics,BSSN/Kominfo Statistics
2024-09-22,Scam/Fraud,Media,Bali,2832,Low,Statistics,BSSN/Kominfo Statistics
2024-09-22,SQL Injection,Transportasi,Banten,245,High,Statistics,BSSN/Kominfo Statistics
2024-09-22,Brute Force,Pendidikan,Sulawesi Selatan,639,Low,Statistics,BSSN/Kominfo Statistics
2024-09-22,APT,Manufaktur,Lainnya,106,High,Statistics,BSSN/Kominfo Statistics
2024-09-22,Cryptojacking,Transportasi,Jawa Barat,418,High,Statistics,BSSN/Kominfo Statistics
2024-09-22,Zero-Day Exploit,Retail & E-commerce,Jawa Barat,56,High,Statistics,BSSN/Kominfo Statistics
2024-10-22,Phishing,Retail & E-commerce,DKI Jakarta,2997,High,Statistics,BSSN/Kominfo Statistics
2024-10-22,Ransomware,Transportasi,DKI Jakarta,534,Medium,Statistics,BSSN/Kominfo Statistics
2024-10-22,Malware,Pemerintahan,Sulawesi Selatan,1961,Low,Statistics,BSSN/Kominfo Statistics
2024-10-22,DDoS,Energi,Banten,515,Low,Statistics,BSSN/Kominfo Statistics
2024-10-22,Data Breach,Energi,DKI Jakarta,376,Medium,Statistics,BSSN/Kominfo Statistics
2024-10-22,Social Engineering,Retail & E-commerce,Jawa Timur,1651,Critical,Statistics,BSSN/Kominfo Statistics
2024-10-22,Scam/Fraud,Energi,Jawa Tengah,4722,Low,Statistics,BSSN/Kominfo Statistics
2024-10-22,SQL Injection,Media,DKI Jakarta,190,High,Statistics,BSSN/Kominfo Statistics
2024-10-22,Brute Force,Manufaktur,DKI Jakarta,732,Medium,Statistics,BSSN/Kominfo Statistics
2024-10-22,APT,Energi,Jawa Tengah,182,Critical,Statistics,BSSN/Kominfo Statistics
2024-10-22,Cryptojacking,Pemerintahan,DKI Jakarta,202,Medium,Statistics,BSSN/Kominfo Statistics
2024-10-22,Zero-Day Exploit,Media,Jawa Timur,54,Medium,Statistics,BSSN/Kominfo Statistics
2024-11-21,Phishing,Telekomunikasi,Banten,2058,High,Statistics,BSSN/Kominfo Statistics
2024-11-21,Ransomware,Media,Jawa Timur,1035,High,Statistics,BSSN/Kominfo Statistics
2024-11-21,Malware,Pemerintahan,Jawa Barat,1784,Critical,Statistics,BSSN/Kominfo Statistics
2024-11-21,DDoS,Retail & E-commerce,Jawa Barat,875,Medium,Statistics,BSSN/Kominfo Statistics
2024-11-21,Data Breach,Energi,Sumatera Utara,339,High,Statistics,BSSN/Kominfo Statistics
2024-11-21,Social Engineering,Pendidikan,DKI Jakarta,2435,Low,Statistics,BSSN/Kominfo Statistics
2024-11-21,Scam/Fraud,Pemerintahan,Sulawesi Selatan,5752,High,Statistics,BSSN/Kominfo Statistics
2024-11-21,SQL Injection,Perbankan & Keuangan,DKI Jakarta,154,Medium,Statistics,BSSN/Kominfo Statistics
2024-11-21,Brute Force,Retail & E-commerce,DKI Jakarta,694,Medium,Statistics,BSSN/Kominfo Statistics
2024-11-21,APT,Media,Sulawesi Selatan,162,Medium,Statistics,BSSN/Kominfo Statistics
2024-11-21,Cryptojacking,Perbankan & Keuangan,Jawa Barat,424,Medium,Statistics,BSSN/Kominfo Statistics
2024-11-21,Zero-Day Exploit,Transportasi,Sulawesi Selatan,56,High,Statistics,BSSN/Kominfo Statistics
2025-12-22,Unknown,Unknown,Unknown,1,Medium,News,Detik
21 Des 2025,Unknown,Unknown,Unknown,1,Low,News,Detik
2025-12-22,Unknown,Unknown,Unknown,1,Medium,News,Detik
21 Des 2025,Unknown,Unknown,Unknown,1,Low,News,Detik
17 Desember 2025,Unknown,Unknown,Unknown,1,Critical,News,Tempo
1 November 2025,Unknown,Unknown,Unknown,1,Low,News,Tempo
31 Juli 2025,Social Engineering,Unknown,Unknown,1,Low,News,Tempo
2024-10-15,Scam,Unknown,Unknown,1,High,News,CNN Indonesia
2024-03-20,Phishing,Unknown,Unknown,1,High,News,Tempo.co
2024-08-11,Scam,Unknown,Unknown,1,High,News,CNN Indonesia
2023-10-08,Phishing,Unknown,Unknown,1,High,News,Kompas.com
2023-08-30,Scam,Unknown,Unknown,1,High,News,Detik.com
2024-05-16,Scam,Unknown,Unknown,1,High,News,CNN Indonesia
2023-01-24,Data Breach,Unknown,Unknown,1,High,News,CNN Indonesia
2023-01-27,Scam,Unknown,Unknown,1,High,News,Kompas.com
2024-04-27,Phishing,Unknown,Unknown,1,High,News,CNN Indonesia
2023-02-10,Social Engineering,Unknown,Unknown,1,High,News,Tempo.co
2024-04-28,Scam,Unknown,Unknown,1,High,News,Detik.com
2023-04-12,Ransomware,Unknown,Unknown,1,High,News,Kompas.com
2024-10-14,Phishing,Unknown,Unknown,1,High,News,Kompas.com
2023-05-21,DDoS,Unknown,Unknown,1,High,News,CNN Indonesia
2023-05-13,Malware,Unknown,Unknown,1,High,News,Detik.com
2023-07-30,DDoS,Unknown,Unknown,1,High,News,CNN Indonesia
2024-02-24,Malware,Unknown,Unknown,1,High,News,Tempo.co
2024-08-12,Phishing,Unknown,Unknown,1,High,News,CNN Indonesia
2023-09-09,Ransomware,Unknown,Unknown,1,High,News,Detik.com
2023-06-30,Ransomware,Unknown,Unknown,1,High,News,Detik.com
2023-09-29,Social Engineering,Unknown,Unknown,1,High,News,Kompas.com
2023-12-14,Data Breach,Unknown,Unknown,1,High,News,Kompas.com
2024-10-18,Social Engineering,Unknown,Unknown,1,High,News,CNN Indonesia
2023-02-19,Data Breach,Unknown,Unknown,1,High,News,Tempo.co
2023-10-31,Malware,Unknown,Unknown,1,High,News,Tempo.co
2024-01-15,Ransomware,Unknown,Unknown,1,High,News,Tempo.co
2024-10-27,Scam,Unknown,Unknown,1,High,News,Detik.com
2024-10-20,Social Engineering,Unknown,Unknown,1,High,News,CNN Indonesia
2024-09-13,Malware,Unknown,Unknown,1,High,News,Kompas.com
2023-12-26,Ransomware,Unknown,Unknown,1,High,News,Tempo.co
2023-10-15,Scam,Unknown,Unknown,1,High,News,CNN Indonesia
2024-11-19,Social Engineering,Unknown,Unknown,1,High,News,CNN Indonesia
2023-09-04,Phishing,Unknown,Unknown,1,High,News,Detik.com
2024-02-03,Malware,Unknown,Unknown,1,High,News,Kompas.com
2024-05-25,Scam,Unknown,Unknown,1,High,News,Kompas.com
2023-08-27,DDoS,Unknown,Unknown,1,High,News,Tempo.co
2024-09-08,Data Breach,Unknown,Unknown,1,High,News,CNN Indonesia
2024-02-08,Scam,Unknown,Unknown,1,High,News,Tempo.co
2023-12-27,Malware,Unknown,Unknown,1,High,News,CNN Indonesia
2023-09-01,Scam,Unknown,Unknown,1,High,News,CNN Indonesia
2024-07-04,Social Engineering,Unknown,Unknown,1,High,News,Detik.com
2024-11-24,Scam,Unknown,Unknown,1,High,News,Tempo.co
2024-11-08,Malware,Unknown,Unknown,1,High,News,Kompas.com
2023-07-20,Scam,Unknown,Unknown,1,High,News,Kompas.com
2023-03-01,Scam,Unknown,Unknown,1,High,News,Kompas.com
2023-09-02,Phishing,Unknown,Unknown,1,High,News,Detik.com
2024-11-14,DDoS,Unknown,Unknown,1,High,News,Detik.com
2024-03-24,Scam,Unknown,Unknown,1,High,News,Detik.com
2023-04-15,Scam,Unknown,Unknown,1,High,News,Tempo.co
2023-07-28,Data Breach,Unknown,Unknown,1,High,News,Kompas.com
2024-08-10,Malware,Unknown,Unknown,1,High,News,Tempo.co
2023-05-13,Phishing,Unknown,Unknown,1,High,News,CNN Indonesia
2024-08-14,Malware,Unknown,Unknown,1,High,News,Detik.com
2023-01-16,Malware,Unknown,Unknown,1,High,News,Tempo.co
2023-02-28,DDoS,Unknown,Unknown,1,High,News,Kompas.com
2024-05-14,Ransomware,Unknown,Unknown,1,High,News,Kompas.com
2023-05-26,Malware,Unknown,Unknown,1,High,News,CNN Indonesia
2024-01-08,Phishing,Unknown,Unknown,1,High,News,Kompas.com
2024-09-10,DDoS,Unknown,Unknown,1,High,News,Tempo.co
2023-05-25,Ransomware,Unknown,Unknown,1,High,News,Kompas.com
2023-01-28,Data Breach,Unknown,Unknown,1,High,News,Kompas.com
2024-06-25,DDoS,Unknown,Unknown,1,High,News,Detik.com
2023-03-19,DDoS,Unknown,Unknown,1,High,News,Tempo.co
2023-07-14,Social Engineering,Unknown,Unknown,1,High,News,Kompas.com
2024-10-16,Phishing,Unknown,Unknown,1,High,News,CNN Indonesia
2023-12-14,Data Breach,Unknown,Unknown,1,High,News,Tempo.co
2024-08-08,Scam,Unknown,Unknown,1,High,News,Kompas.com
2023-11-29,Malware,Unknown,Unknown,1,High,News,Kompas.com
2024-12-01,Phishing,Unknown,Unknown,1,High,News,Tempo.co
2024-08-08,Scam,Unknown,Unknown,1,High,News,Kompas.com
2024-05-29,Social Engineering,Unknown,Unknown,1,High,News,Detik.com
2024-07-07,Scam,Unknown,Unknown,1,High,News,Kompas.com
2024-05-15,Data Breach,Unknown,Unknown,1,High,News,Kompas.com
2024-07-03,Ransomware,Unknown,Unknown,1,High,News,Detik.com
2023-02-23,Social Engineering,Unknown,Unknown,1,High,News,Detik.com
2023-06-19,Phishing,Unknown,Unknown,1,High,News,CNN Indonesia
2024-02-14,DDoS,Unknown,Unknown,1,High,News,Tempo.co
2024-03-05,Phishing,Unknown,Unknown,1,High,News,Kompas.com
2023-06-17,Scam,Unknown,Unknown,1,High,News,CNN Indonesia
2023-02-21,Scam,Unknown,Unknown,1,High,News,CNN Indonesia
2023-02-09,Social Engineering,Unknown,Unknown,1,High,News,Tempo.co
2023-01-17,Malware,Unknown,Unknown,1,High,News,Detik.com
2023-07-15,Scam,Unknown,Unknown,1,High,News,Tempo.co
2023-03-15,Scam,Unknown,Unknown,1,High,News,CNN Indonesia
2024-07-12,DDoS,Unknown,Unknown,1,High,News,Detik.com
2024-06-11,Malware,Unknown,Unknown,1,High,News,Tempo.co
2023-10-26,Ransomware,Unknown,Unknown,1,High,News,Detik.com
2023-03-20,Phishing,Unknown,Unknown,1,High,News,Tempo.co
2024-04-02,Malware,Unknown,Unknown,1,High,News,Detik.com
2023-02-22,Phishing,Unknown,Unknown,1,High,News,Tempo.co
2024-01-21,Data Breach,Unknown,Unknown,1,High,News,Tempo.co
2023-11-04,Scam,Unknown,Unknown,1,High,News,CNN Indonesia
2024-05-03,Social Engineering,Unknown,Unknown,1,High,News,CNN Indonesia
